GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109272177823,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2024-01-27 00:08:25,1706285305000,02,小型汽车,苏BW2***,现代
G320300109272177773,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2024-01-27 00:08:25,1706285305000,02,小型汽车,苏C6C***,起亚
G320300109272177757,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-27 00:08:26,1706285306000,02,小型汽车,鲁H03***,中华
G320300109272177812,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2024-01-27 00:08:27,1706285307000,02,小型汽车,苏C2P***,迈巴赫
G320300109272177948,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:08:34,1706285314000,02,小型汽车,皖LT3***,未知
G320300109272178065,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:08:35,1706285315000,01,大型汽车,鲁Q33***,夏利
G320300109272178172,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-27 00:08:39,1706285319000,01,大型汽车,鲁H55***,依维柯
G320300109272178430,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-27 00:08:52,1706285332000,02,小型汽车,皖L51***,未知
G320300109272179549,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:08:54,1706285334000,02,小型汽车,冀DL2***,一汽
G320300109272179551,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-27 00:08:55,1706285335000,02,小型汽车,冀DL2***,一汽
G320300109272179680,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-27 00:09:16,1706285356000,02,小型汽车,苏C7L***,大通
